report_date,event_datetime_z,event_date,event_time_z,city,state,airport_code,facility,aircraft_primary,aircraft_primary_model,n_numbers,phase,event_type,pob,injuries,damage,form_8020_9,group_id,group_size,context_parens,sources_json,media_json,aircraft_image_url,aircraft_image_type,raw_narrative,callsign_primary,aircraft_type_designator,sources_found,media_found,sources_checked_on,media_checked_on,ntsb_case_id,ntsb_pdf_url,aircraft_image_actual_url,aircraft_image_generic_url,aircraft_image_verified,missing_sources,missing_media,score
8/26/2025,2025-08-18T20:56:00Z,8/18/2025,2056Z,ALBANY,OR,,WSC ROC,N824DW,JABIRWATT,N824DW,,Engine/power issue,1,,Unknown,No,2,1,WSC ROC,"[{""title"": ""ASN Jabiru J230 listing for N824DW near Albany Municipal Airport"", ""url"": ""https://aviation-safety.net/asndb/type/JAB4/2"", ""publisher"": ""Aviation Safety Network"", ""date"": ""2025-08-18""}]",[],https://www.google.com/search?tbm=isch&q=N824DW+aircraft,actual_search,"ALBANY, OR, (WSC ROC), N824DW, JABIRWATT. N824DWâ€™s engine quit, and the plane crash-landed in a field near the address 38416 Groshong Road, northeast of Albany, OR. No FAA Form 8020-9 was received. POB: 1, Injuries: None, Damage: Unknown. Late Report: 8/18/2025 2056Z.",,JABIRWATT,1,0,4/9/2026,4/9/2026,,,https://www.google.com/search?tbm=isch&q=N824DW+aircraft,https://www.google.com/search?tbm=isch&q=JABIRWATT+aircraft,No,True,True,2
8/26/2025,2025-08-23T06:48:00Z,8/23/2025,0648Z,LOS ANGELES,CA,LAX,WSC ROC,PAL112 (RPC7775),B77W,PAL112 (RPC7775),,Turbulence,345,"None, 1- Minor",Unknown,Yes,3,1,WSC ROC | LAX | PAL112,[],[],https://www.google.com/search?tbm=isch&q=B77W+aircraft,generic_search,"LOS ANGELES, CA, (WSC ROC), (LAX), (PAL112), RPC7775, B77W. PAL112 (RPLL-LAX) IFR was on a flight over oceanic airspace reported a flight attendant getting an undisclosed injury due to turbulence. severity of turbulence not reported. The flight continued and landed safely at LAX. The flight attendant condition was not disclosed. Update: FAA Form 8020-9 was received. POB: 345, Update: Injuries: None, 1- Minor, Damage: Unknown. 8/23/2025 0648Z. MISCELLANEOUS: None. Page 2 FOR OFFICIAL USE ONLY 8/26/2025 (Public availability to be determined under Title 5 USC 552)",RPC7775,B77W,0,0,2/25/2026,2/25/2026,,,,https://www.google.com/search?tbm=isch&q=B77W+aircraft,No,True,True,2
8/26/2025,2025-08-23T20:18:00Z,8/23/2025,2018Z,MERRILL,AK,MRI,WSC ROC,N7050K,PA20-2,N7050K,Ground/Taxi,,1,,Substantial,Yes,4,1,WSC ROC | MRI,"[{""title"": ""Aviation Safety Network entry for N7050K (Piper PA-20-150 Pacer)"", ""url"": ""https://aviation-safety.net/wikibase/540948"", ""publisher"": ""Aviation Safety Network"", ""date"": ""2025-08-23""}]",[],https://www.google.com/search?tbm=isch&q=N7050K+aircraft,actual_search,"MERRILL, AK, (WSC ROC), (MRI), N7050K, PA20-2. N7050K experienced a ground loop after landing on RWY26. The aircraft taxied off runway to parking. Update: FAA Form 8020-9 was received. POB: 1, Injuries: None, Damage: Substantial. 8/23/2025 2018Z.",PA20-2,PA20-2,1,0,2/25/2026,2/25/2026,,,https://www.google.com/search?tbm=isch&q=N7050K+aircraft,https://www.google.com/search?tbm=isch&q=PA20-2+aircraft,No,False,True,3
8/26/2025,2025-08-24T16:00:00Z,8/24/2025,1600Z,CHICKEN,AK,CKX,FAI FSS,N7771N,PA-28-180,N7771N,Takeoff/Departure,,3,1-None,Unknown,Yes,5,1,FAI FSS | CKX,"[{""title"": ""Aviation Safety Network entry for N7771N (Piper PA-28-180 near Chicken)"", ""url"": ""https://aviation-safety.net/wikibase/540941"", ""publisher"": ""Aviation Safety Network"", ""date"": ""2025-08-24""}]","[{""title"": ""NTSB Preliminary Report (ANC25LA094) PDF"", ""url"": ""https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200861/pdf"", ""publisher"": ""NTSB"", ""date"": ""2025-08-24""}]",https://www.google.com/search?tbm=isch&q=N7771N+aircraft,actual_search,"CHICKEN, AK, (FAI FSS), (CKX), N7771N, PA-28-180. N7771N crashed approximately 2,500 feet off the departure end of RWY31. FAA Form 8020-9 was received. POB: 3, Injuries: 1-None, 2- Serious, Update: Damage: Unknown. Substantial. 8/24/2025 1600Z.",PA-28-180,PA-28-180,1,1,4/9/2026,4/9/2026,,,https://www.google.com/search?tbm=isch&q=N7771N+aircraft,https://www.google.com/search?tbm=isch&q=PA-28-180+aircraft,No,True,True,4
8/26/2025,2025-08-24T16:14:00Z,8/24/2025,1614Z,KAHULUI,HI,OGG,WSC ROC,FDY907,C208,NONE,Ground/Taxi,,Unknown,Unknown,"Unknown, Minor",Yes,6,1,WSC ROC | OGG,[],[],https://www.google.com/search?tbm=isch&q=Cessna+208+Caravan,generic_search,"KAHULUI, HI, (WSC ROC), (OGG), FDY907, C208. FDY907 (PHOG-PHMU) IFR was taxing to RWY05, when the pilot advised their right brake locked up resulting in the aircraft striking a taxiway light. Update: FAA Form 8020-9 was received. POB: Unknown, Injuries: Unknown, Update: Damage: Unknown, Minor. 8/24/2025 1614Z. Page 1 FOR OFFICIAL USE ONLY 8/26/2025 (Public availability to be determined under Title 5 USC 552)",FDY907,C208,0,0,2/25/2026,2/25/2026,,,,https://www.google.com/search?tbm=isch&q=Cessna+208+Caravan,No,True,True,2
8/26/2025,2025-08-25T16:30:00Z,8/25/2025,1630Z,VAN NUYS,CA,VNY,WSC ROC,EJM58,GLF5,NONE,,,Unknown,,Unknown,No,7,1,WSC ROC | VNY,[],[],https://www.google.com/search?tbm=isch&q=GLF5+aircraft,generic_search,"VAN NUYS, CA, (WSC ROC), (VNY), EJM58, GLF5. EJM58 declared an emergency due to smoke in the cockpit then diverted to and landed safely at VNY. No FAA Form 8020-9 was received. POB: Unknown, Injuries: None, Damage: Unknown. 8/25/2025 1630Z. UPDATE:",EJM58,GLF5,0,0,2/25/2026,2/25/2026,,,,https://www.google.com/search?tbm=isch&q=GLF5+aircraft,No,True,True,2
8/26/2025,2025-08-25T17:03:00Z,8/25/2025,1703Z,MURRIETA/TEMECULA,CA,F70,WSC ROC,N542T,BEECH N35,N542T; N828WT,Ground/Taxi,Wingtip strike/collision,2,,Unknown,No,8,2,WSC ROC | F70,[],[],https://www.google.com/search?tbm=isch&q=N542T+aircraft,actual_search,"MURRIETA/TEMECULA, CA, (WSC ROC), (F70), N542T, 1961-BEECH N35. N828WT (A36) was taxiing to parking when the left wingtip struck the right wingtip of a parked, unoccupied aircraft, N542T at French Valley Airport (F70), Murrieta/Temecula, CA. No FAA Form 8020-9 was received. POB: 2, Injuries: None, Damage: Unknown. 8/25/2025 1703Z.",(F70),N35,0,0,2/25/2026,2/25/2026,,,https://www.google.com/search?tbm=isch&q=N542T+aircraft,https://www.google.com/search?tbm=isch&q=N35+aircraft,No,True,True,1
8/26/2025,2025-08-25T17:03:00Z,8/25/2025,1703Z,MURRIETA/TEMECULA,CA,F70,FSOC FSS,N828WT,A36,N828WT; N542T,Ground/Taxi,Wingtip strike/collision,2,,Minor,Yes,8,2,FSOC FSS | F70,[],[],https://www.google.com/search?tbm=isch&q=N828WT+aircraft,actual_search,"MURRIETA/TEMECULA, CA, (FSOC FSS), (F70), N828WT, A36. N828WT was taxiing to parking when the left wingtip struck the right wingtip of a parked, unoccupied aircraft, N542T (1961 BEECH N35), at French Valley Airport (F70), Murrieta/Temecula, CA. FAA Form 8020-9 was received. POB: 2, Injuries: None, Damage: Minor. 8/25/2025 1703Z.",(F70),A36,0,0,2/25/2026,2/25/2026,,,https://www.google.com/search?tbm=isch&q=N828WT+aircraft,https://www.google.com/search?tbm=isch&q=A36+aircraft,No,True,True,2
8/26/2025,2025-08-25T21:56:00Z,8/25/2025,2156Z,PUYALLUP,WA,PLU,FSOC FSS,N538SF,SPORTCRUISER,N538SF,Takeoff/Departure,,2,"1-Minor, 1- Serious",Unknown,,9,1,FSOC FSS | PLU,[],[],https://www.google.com/search?tbm=isch&q=N538SF+aircraft,actual_search,"PUYALLUP, WA, (FSOC FSS), (PLU), N538SF, SPORTCRUISER. N538SF crashed in a field after departing from RWY 35 at Thun Field (PLU), due to reported engine issues. Both occupants were transported to the hospital. FAA Form 8020- 9 was received. POB: 2, Injuries: 1-Minor, 1- Serious, Damage: Unknown. 8/25/2025 2156Z.",,SPORTCRUISER,0,0,2/25/2026,2/25/2026,,,https://www.google.com/search?tbm=isch&q=N538SF+aircraft,https://www.google.com/search?tbm=isch&q=SPORTCRUISER+aircraft,No,True,True,2
9/2/2025,2025-08-11T22:00:00Z,8/11/2025,2200Z,SOLDOTNA,AK,SXQ,ENA FSS,N37205,S-1 CADET,N37205,Landing/Approach,,3,,Unknown,Yes,1,1,ENA FSS | SXQ,[],[],https://www.google.com/search?tbm=isch&q=N37205+aircraft,actual_search,"SOLDOTNA, AK, (ENA FSS), (SXQ), N37205, S-1 CADET. N37205 experienced ground looped while landing due to a tailwind. FAA Form 8020-9 was received. POB: 3, Injuries: None, Damage: Unknown. Late Report: 8/11/2025 2200Z.",S-1 CADET,CADET,0,0,2/25/2026,2/25/2026,,,https://www.google.com/search?tbm=isch&q=N37205+aircraft,https://www.google.com/search?tbm=isch&q=CADET+aircraft,No,True,True,2
